# Max time: 1.6 seconds
# Timestep: 2.5e-06 seconds
# Iterations: 640001 per particle per run
# Seed: 2345
# Setup complete, beginning evolution.
# Y: [0, 2e-05]
# Z: [-4e-05, 1e-05]
# Test step: 1 microns.
5e-06 -9e-06 1
5e-06 -8e-06 0.984375
5e-06 -7e-06 1
5e-06 -6e-06 0.984375
5e-06 -5e-06 0.96875
5e-06 -4e-06 1
5e-06 -3e-06 1
5e-06 -2e-06 0.984375
5e-06 -1e-06 0.984375
5e-06 -1.0099e-13 0.953125
5e-06 1e-06 0.765625
5e-06 2e-06 0.609375
5e-06 3e-06 0.203125
5e-06 4e-06 0.09375
5e-06 5e-06 0.015625
5e-06 6e-06 0.015625
5e-06 7e-06 0.03125
5e-06 8e-06 0
5e-06 9e-06 0.015625
5e-06 1e-05 0.015625
6e-06 -4e-05 0.921875
6e-06 -3.9e-05 0.984375
6e-06 -3.8e-05 0.953125
6e-06 -3.7e-05 0.953125
6e-06 -3.6e-05 0.953125
6e-06 -3.5e-05 1
6e-06 -3.4e-05 0.953125
6e-06 -3.3e-05 0.96875
6e-06 -3.2e-05 0.96875
6e-06 -3.1e-05 0.984375
6e-06 -3e-05 0.984375
6e-06 -2.9e-05 0.96875
6e-06 -2.8e-05 0.953125
6e-06 -2.7e-05 0.984375
6e-06 -2.6e-05 0.984375
6e-06 -2.5e-05 1
6e-06 -2.4e-05 0.96875
6e-06 -2.3e-05 0.984375
6e-06 -2.2e-05 1
6e-06 -2.1e-05 1
6e-06 -2e-05 0.984375
6e-06 -1.9e-05 1
6e-06 -1.8e-05 0.984375
6e-06 -1.7e-05 0.984375
6e-06 -1.6e-05 1
6e-06 -1.5e-05 0.984375
6e-06 -1.4e-05 0.984375
6e-06 -1.3e-05 1
6e-06 -1.2e-05 0.984375
6e-06 -1.1e-05 1
6e-06 -1e-05 0.984375
6e-06 -9e-06 1
6e-06 -8e-06 1
6e-06 -7e-06 1
6e-06 -6e-06 1
6e-06 -5e-06 1
6e-06 -4e-06 0.984375
6e-06 -3e-06 0.984375
6e-06 -2e-06 0.984375
6e-06 -1e-06 0.90625
6e-06 -1.0099e-13 0.421875
6e-06 1e-06 0.171875
6e-06 2e-06 0.109375
6e-06 3e-06 0.046875
6e-06 4e-06 0
6e-06 5e-06 0
6e-06 6e-06 0.015625
6e-06 7e-06 0.015625
6e-06 8e-06 0.015625
6e-06 9e-06 0.015625
6e-06 1e-05 0.03125
7e-06 -4e-05 0.953125
7e-06 -3.9e-05 0.9375
7e-06 -3.8e-05 0.9375
7e-06 -3.7e-05 0.9375
7e-06 -3.6e-05 0.984375
7e-06 -3.5e-05 0.953125
7e-06 -3.4e-05 0.984375
7e-06 -3.3e-05 0.9375
7e-06 -3.2e-05 0.96875
7e-06 -3.1e-05 0.9375
7e-06 -3e-05 0.953125
7e-06 -2.9e-05 0.984375
7e-06 -2.8e-05 0.96875
7e-06 -2.7e-05 0.96875
7e-06 -2.6e-05 0.96875
7e-06 -2.5e-05 0.984375
7e-06 -2.4e-05 0.9375
7e-06 -2.3e-05 1
7e-06 -2.2e-05 0.953125
7e-06 -2.1e-05 0.96875
7e-06 -2e-05 0.96875
7e-06 -1.9e-05 0.984375
7e-06 -1.8e-05 0.984375
7e-06 -1.7e-05 1
7e-06 -1.6e-05 0.96875
7e-06 -1.5e-05 1
7e-06 -1.4e-05 1
7e-06 -1.3e-05 0.984375
7e-06 -1.2e-05 1
7e-06 -1.1e-05 0.984375
7e-06 -1e-05 1
7e-06 -9e-06 0.984375
7e-06 -8e-06 1
7e-06 -7e-06 1
7e-06 -6e-06 0.984375
7e-06 -5e-06 0.984375
7e-06 -4e-06 0.984375
7e-06 -3e-06 0.984375
7e-06 -2e-06 0.953125
7e-06 -1e-06 0.53125
7e-06 -1.0099e-13 0.046875
7e-06 1e-06 0.03125
7e-06 2e-06 0.015625
7e-06 3e-06 0
7e-06 4e-06 0
7e-06 5e-06 0.015625
7e-06 6e-06 0.015625
7e-06 7e-06 0.03125
7e-06 8e-06 0
7e-06 9e-06 0
7e-06 1e-05 0
8e-06 -4e-05 0.828125
8e-06 -3.9e-05 0.84375
8e-06 -3.8e-05 0.9375
8e-06 -3.7e-05 0.9375
8e-06 -3.6e-05 0.921875
8e-06 -3.5e-05 0.875
8e-06 -3.4e-05 0.84375
8e-06 -3.3e-05 0.9375
8e-06 -3.2e-05 0.859375
8e-06 -3.1e-05 0.953125
8e-06 -3e-05 0.9375
8e-06 -2.9e-05 0.96875
8e-06 -2.8e-05 0.96875
8e-06 -2.7e-05 0.921875
8e-06 -2.6e-05 0.984375
8e-06 -2.5e-05 0.953125
8e-06 -2.4e-05 0.96875
8e-06 -2.3e-05 0.9375
8e-06 -2.2e-05 0.9375
8e-06 -2.1e-05 0.984375
8e-06 -2e-05 0.96875
8e-06 -1.9e-05 0.96875
8e-06 -1.8e-05 1
8e-06 -1.7e-05 1
8e-06 -1.6e-05 0.953125
8e-06 -1.5e-05 0.953125
8e-06 -1.4e-05 0.984375
8e-06 -1.3e-05 0.953125
8e-06 -1.2e-05 1
8e-06 -1.1e-05 1
8e-06 -1e-05 1
8e-06 -9e-06 1
8e-06 -8e-06 1
8e-06 -7e-06 1
8e-06 -6e-06 0.953125
8e-06 -5e-06 0.984375
8e-06 -4e-06 1
8e-06 -3e-06 0.953125
8e-06 -2e-06 0.6875
8e-06 -1e-06 0.125
8e-06 -1.0099e-13 0.015625
8e-06 1e-06 0.015625
8e-06 2e-06 0
8e-06 3e-06 0.03125
8e-06 4e-06 0
8e-06 5e-06 0.015625
8e-06 6e-06 0
8e-06 7e-06 0
8e-06 8e-06 0.015625
8e-06 9e-06 0
8e-06 1e-05 0
9e-06 -4e-05 0.859375
9e-06 -3.9e-05 0.8125
9e-06 -3.8e-05 0.875
9e-06 -3.7e-05 0.796875
9e-06 -3.6e-05 0.875
9e-06 -3.5e-05 0.921875
9e-06 -3.4e-05 0.90625
9e-06 -3.3e-05 0.8125
9e-06 -3.2e-05 0.890625
9e-06 -3.1e-05 0.90625
9e-06 -3e-05 0.921875
9e-06 -2.9e-05 0.953125
9e-06 -2.8e-05 0.890625
9e-06 -2.7e-05 0.921875
9e-06 -2.6e-05 0.953125
9e-06 -2.5e-05 0.953125
9e-06 -2.4e-05 0.921875
9e-06 -2.3e-05 0.890625
9e-06 -2.2e-05 0.953125
9e-06 -2.1e-05 0.953125
9e-06 -2e-05 0.921875
9e-06 -1.9e-05 0.96875
9e-06 -1.8e-05 0.984375
9e-06 -1.7e-05 0.953125
9e-06 -1.6e-05 0.96875
9e-06 -1.5e-05 0.984375
9e-06 -1.4e-05 0.984375
9e-06 -1.3e-05 0.96875
9e-06 -1.2e-05 1
9e-06 -1.1e-05 0.953125
9e-06 -1e-05 0.953125
9e-06 -9e-06 0.984375
9e-06 -8e-06 0.984375
9e-06 -7e-06 0.984375
9e-06 -6e-06 0.9375
9e-06 -5e-06 0.984375
9e-06 -4e-06 0.875
9e-06 -3e-06 0.703125
9e-06 -2e-06 0.328125
9e-06 -1e-06 0.046875
9e-06 -1.0099e-13 0.046875
9e-06 1e-06 0.015625
9e-06 2e-06 0
9e-06 3e-06 0.015625
9e-06 4e-06 0
9e-06 5e-06 0
9e-06 6e-06 0.03125
9e-06 7e-06 0
9e-06 8e-06 0
9e-06 9e-06 0.015625
9e-06 1e-05 0.046875
1e-05 -4e-05 0.859375
1e-05 -3.9e-05 0.84375
1e-05 -3.8e-05 0.78125
1e-05 -3.7e-05 0.859375
1e-05 -3.6e-05 0.71875
1e-05 -3.5e-05 0.765625
1e-05 -3.4e-05 0.84375
1e-05 -3.3e-05 0.796875
