# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
# Elapsed time: 2280.18 ms
2.5e-07 -4.99999e-07 1
# Elapsed time: 2279.88 ms
2.5e-07 -2.49999e-07 1
# Elapsed time: 2301.51 ms
2.5e-07 5.05242e-13 1
# Elapsed time: 2280.07 ms
2.5e-07 2.50001e-07 1
# Elapsed time: 2280.16 ms
2.5e-07 5.00001e-07 1
# Elapsed time: 2304.14 ms
2.5e-07 7.50001e-07 1
# Elapsed time: 2280.16 ms
2.5e-07 1e-06 1
# Elapsed time: 2281.05 ms
2.5e-07 1.25e-06 1
# Elapsed time: 2290.03 ms
2.5e-07 1.5e-06 1
# Elapsed time: 2280.17 ms
2.5e-07 1.75e-06 1
# Elapsed time: 2280.18 ms
2.5e-07 2e-06 1
# Elapsed time: 2288.02 ms
2.5e-07 2.25e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 2.5e-06 1
# Elapsed time: 2280.25 ms
2.5e-07 2.75e-06 1
# Elapsed time: 2286.57 ms
2.5e-07 3e-06 1
# Elapsed time: 2280.2 ms
2.5e-07 3.25e-06 1
# Elapsed time: 2280.2 ms
2.5e-07 3.5e-06 1
# Elapsed time: 2305.67 ms
2.5e-07 3.75e-06 1
# Elapsed time: 2280.17 ms
2.5e-07 4e-06 1
# Elapsed time: 2280.15 ms
2.5e-07 4.25e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 4.5e-06 1
# Elapsed time: 2296.12 ms
2.5e-07 4.75e-06 1
# Elapsed time: 2280.21 ms
2.5e-07 5e-06 1
# Elapsed time: 2280.28 ms
2.5e-07 5.25e-06 1
# Elapsed time: 2285.51 ms
2.5e-07 5.5e-06 0.943359
# Elapsed time: 2278.64 ms
2.5e-07 5.75e-06 0.0234375
# Elapsed time: 639.686 ms
2.5e-07 6e-06 0
# Elapsed time: 384.21 ms
2.5e-07 6.25e-06 0
# Elapsed time: 300.783 ms
2.5e-07 6.5e-06 0
# Elapsed time: 232.543 ms
2.5e-07 6.75e-06 0
# Elapsed time: 195.486 ms
2.5e-07 7e-06 0
# Elapsed time: 157.048 ms
2.5e-07 7.25e-06 0
# Elapsed time: 101.361 ms
2.5e-07 7.5e-06 0
# Elapsed time: 61.216 ms
2.5e-07 7.75e-06 0
# Elapsed time: -0.903 ms
2.5e-07 8e-06 0
# Elapsed time: 2301.84 ms
5e-07 -2e-05 0.0683594
# Elapsed time: 2280.23 ms
5e-07 -1.975e-05 1
# Elapsed time: 2280.06 ms
5e-07 -1.95e-05 1
# Elapsed time: 2283.23 ms
5e-07 -1.925e-05 1
# Elapsed time: 2296.57 ms
5e-07 -1.9e-05 1
# Elapsed time: 2279.99 ms
5e-07 -1.875e-05 1
# Elapsed time: 2280.01 ms
5e-07 -1.85e-05 1
# Elapsed time: 2283.99 ms
5e-07 -1.825e-05 1
# Elapsed time: 2280.19 ms
5e-07 -1.8e-05 1
# Elapsed time: 2280.35 ms
5e-07 -1.775e-05 1
# Elapsed time: 2294.31 ms
5e-07 -1.75e-05 1
# Elapsed time: 2301.44 ms
5e-07 -1.725e-05 1
# Elapsed time: 2280.29 ms
5e-07 -1.7e-05 1
# Elapsed time: 2280.2 ms
5e-07 -1.675e-05 1
# Elapsed time: 2300.96 ms
5e-07 -1.65e-05 1
# Elapsed time: 2280.32 ms
5e-07 -1.625e-05 1
# Elapsed time: 2280.25 ms
5e-07 -1.6e-05 1
# Elapsed time: 2300.54 ms
5e-07 -1.575e-05 1
# Elapsed time: 2280.26 ms
5e-07 -1.55e-05 1
# Elapsed time: 2280.36 ms
5e-07 -1.525e-05 1
# Elapsed time: 2295.26 ms
5e-07 -1.5e-05 1
# Elapsed time: 2280.17 ms
5e-07 -1.475e-05 1
# Elapsed time: 2282.21 ms
5e-07 -1.45e-05 1
# Elapsed time: 2289.57 ms
5e-07 -1.425e-05 1
# Elapsed time: 2280.29 ms
5e-07 -1.4e-05 1
# Elapsed time: 2280.08 ms
5e-07 -1.375e-05 1
# Elapsed time: 2286.26 ms
5e-07 -1.35e-05 1
# Elapsed time: 2280.12 ms
5e-07 -1.325e-05 1
# Elapsed time: 2280.25 ms
5e-07 -1.3e-05 1
